,LinkedIn,Uber,Facebook,Zenefit,Snapchat,Yahoo,Bloomberg,Palantir,Done
1,...,...,...,...,...,...,Yes,...,False
21,Yes,...,...,...,...,...,...,...,False
23,...,...,Yes,...,...,...,...,...,False
33,...,...,...,...,...,...,Yes,...,False
34,Yes,...,...,...,...,...,...,...,False
46,Yes,...,...,...,...,...,...,...,False
47,Yes,...,...,...,...,...,...,...,False
50,...,...,...,...,...,...,Yes,...,False
53,...,...,...,...,...,...,Yes,...,False
56,...,...,...,...,...,...,Yes,...,False
57,...,...,Yes,...,...,...,...,...,False
65,Yes,...,...,...,...,...,...,...,False
68,Yes,...,...,...,...,...,...,...,False
76,...,...,Yes,...,...,...,...,...,False
101,...,...,...,...,...,...,Yes,...,False
102,...,...,...,...,...,...,Yes,...,False
103,...,...,...,...,...,...,Yes,...,False
104,...,...,...,...,...,Yes,...,...,False
127,...,...,...,...,Yes,...,...,...,False
149,Yes,...,...,...,...,...,...,...,False
150,Yes,...,...,...,...,...,...,...,False
152,Yes,...,...,...,...,...,...,...,False
156,Yes,...,...,...,...,...,...,...,False
170,Yes,...,...,...,...,...,...,...,False
173,...,...,Yes,...,...,...,...,...,False
187,Yes,...,...,...,...,...,...,...,False
198,Yes,...,...,...,...,...,...,...,False
205,Yes,...,...,...,...,...,...,...,False
236,...,...,Yes,...,...,...,...,...,False
238,...,...,Yes,...,...,...,...,...,False
243,Yes,...,...,...,...,...,...,...,False
244,Yes,...,...,...,...,...,...,...,False
245,Yes,...,...,...,...,...,...,...,False
254,...,Yes,...,...,...,...,...,...,False
256,Yes,...,...,...,...,...,...,...,False
277,...,...,Yes,...,...,...,...,...,False
297,...,...,...,...,...,...,Yes,...,False
311,...,...,Yes,...,...,...,...,...,False
339,Yes,...,...,...,...,...,...,...,False
8,...,...,...,...,...,...,Yes,...,False
10,...,...,Yes,...,...,...,...,...,False
13,...,...,...,...,...,...,Yes,...,False
17,...,...,Yes,...,...,...,...,...,False
22,...,...,...,Yes,...,...,...,...,False
24,...,...,...,...,...,...,Yes,...,False
36,...,...,...,...,Yes,...,...,...,False
37,...,Yes,...,...,...,...,...,...,False
39,...,...,...,...,Yes,...,...,...,False
49,...,...,...,...,...,...,Yes,...,False
54,...,Yes,...,...,...,...,...,...,False
78,...,...,Yes,...,...,...,...,...,False
91,...,...,Yes,...,...,...,...,...,False
121,...,...,...,...,...,...,Yes,...,False
125,...,...,...,Yes,...,...,...,...,False
133,...,...,Yes,...,...,...,...,...,False
138,...,...,...,...,...,...,Yes,...,False
139,...,...,...,...,...,...,Yes,...,False
140,...,...,...,...,Yes,...,...,...,False
146,...,...,...,...,...,...,...,Yes,False
155,...,...,...,...,...,...,Yes,...,False
161,...,...,...,...,Yes,...,...,...,False
171,...,Yes,...,...,...,...,...,...,False
186,...,Yes,...,...,...,...,...,...,False
202,...,Yes,...,...,...,...,...,...,False
206,...,...,...,...,...,...,Yes,...,False
208,...,...,...,...,...,...,Yes,...,False
230,...,...,...,...,...,...,Yes,...,False
242,...,Yes,...,...,...,...,...,...,False
249,...,Yes,...,...,...,...,...,...,False
262,...,Yes,...,...,...,...,...,...,False
266,...,Yes,...,...,...,...,...,...,False
290,...,Yes,...,...,...,...,...,...,False
291,...,Yes,...,...,...,...,...,...,False
337,...,Yes,...,...,...,...,...,...,False
15,...,...,...,...,...,...,Yes,...,False
20,...,...,...,...,...,...,Yes,...,False
25,...,...,Yes,...,...,...,...,...,False
26,...,...,...,...,...,...,Yes,...,False
28,...,...,Yes,...,...,...,...,...,False
38,...,...,Yes,...,...,...,...,...,False
43,...,...,Yes,...,...,...,...,...,False
44,...,...,...,...,Yes,...,...,...,False
67,...,...,Yes,...,...,...,...,...,False
69,...,...,...,...,...,...,Yes,...,False
71,...,...,Yes,...,...,...,...,...,False
75,...,...,Yes,...,...,...,...,...,False
79,...,...,...,...,...,...,Yes,...,False
80,...,...,Yes,...,...,...,...,...,False
85,...,...,Yes,...,...,...,...,...,False
88,...,...,...,...,...,...,Yes,...,False
90,...,...,Yes,...,...,...,...,...,False
98,...,...,...,...,...,...,Yes,...,False
117,...,...,...,...,...,...,Yes,...,False
128,...,...,Yes,...,...,...,...,...,False
157,...,...,Yes,...,...,...,...,...,False
158,...,...,...,...,...,...,Yes,...,False
168,...,...,...,Yes,...,...,...,...,False
200,...,...,...,Yes,...,...,...,...,False
209,...,...,Yes,...,...,...,...,...,False
210,...,...,...,Yes,...,...,...,...,False
211,...,...,Yes,...,...,...,...,...,False
215,...,...,...,...,...,...,Yes,...,False
218,...,...,Yes,...,...,...,...,...,False
221,...,...,Yes,...,...,...,...,...,False
234,...,...,Yes,...,...,...,...,...,False
235,...,...,Yes,...,...,...,...,...,False
252,...,...,Yes,...,...,...,...,...,False
253,...,...,Yes,...,...,...,...,...,False
257,...,...,Yes,...,...,...,...,...,False
261,...,...,...,Yes,...,...,...,...,False
265,...,...,Yes,...,...,...,...,...,False
269,...,...,...,...,Yes,...,...,...,False
273,...,...,Yes,...,...,...,...,...,False
